coeffA	coeffB
2114635359	3502911130
2494434019	3734660550
1301506767	2278120641
3926281207	1956624905
189512719	2336773888
1335890137	1147042938
3902354756	2719729904
2064034096	1515871424
1877560461	8486092
2998135226	241333151
2622692292	2272896256
935611066	2593208962
1870562376	2063078214
423634472	2323203778
3290575133	1498675687
933237264	3941002199
2575245222	1784964510
168409837	3600416684
646808140	2344077364
464273941	1737668760
4188089159	2461667756
2887346612	2730780767
1044738	1167826920
2759350450	986723862
574913650	2324339804
1921279663	3398325489
773432875	573243853
157506675	2720655126
2873343816	4092214815
1819528698	3599768823
3513576651	2542839971
3701136235	2860025367
3546083781	3402570659
4287174098	3307779172
4043465255	1166720012
2444383398	3919816100
2151280172	471929356
998896976	1544588356
1819460093	1347898602
341210254	1983675683
1141623458	2773858554
3300489102	433851646
197513010	41544400
2903254300	1442643119
1242255250	4219232429
3137526747	3104801093
1177585871	2649188348
3087222906	1607731988
626929226	2838007846
3880388767	1213913747
1599808857	1016567796
196602252	2289319776
3249238972	2451014383
619455517	3306254956
1896262964	4016367105
3384962407	1387642570
2762669315	3941021549
3151471968	368231568
1346774557	3958366497
2610330911	1973498491
2925921142	1883952100
727708980	435875159
2857061467	2961991133
3623866292	3480979269
1575000032	12631312
1323876923	365880781
3335598667	3363761627
1356012380	2370381765
4156344136	1633034014
1077484195	4273965485
578463317	2391647722
3850807783	1627549255
2330346210	2155035362
3845983348	3783002550
1428936494	1920421667
