coeffA	coeffB
1676188857	3642934318
2121857717	1936301950
2879200288	3073596281
4283262328	191828368
3563440505	595530294
679212368	2027133485
3866317857	4182087283
148672424	3698495914
170325602	3413452907
2276583243	577745938
3747014808	4109638611
52433950	212263444
3781944968	2456931344
2393324740	1638522188
4146085988	3795256541
3748161124	1305279886
140027365	3379626294
3021382115	3690305460
2298674726	43701207
216629451	14512694
296968290	3467662855
2922342013	1746379763
2267813329	1159346714
1756896192	2677678552
2703522833	1319525597
2968002442	3098985602
159287823	3163690470
3106722370	2229980920
1943142997	75264348
1313038033	1343903296
2667682766	1038747291
4171594527	4234814275
1541999196	2870684064
2667314533	2946196476
822054566	594768768
2365236609	3601296375
2546743783	2622250262
4134247659	676905558
1884594090	2219093963
3381044218	319613690
622927590	3268479359
3231243967	3994121663
1166607159	13019860
1226591026	3679457448
174171273	3724956827
3473697216	655582561
3446855005	4127925733
4113206793	1582819523
1418322167	2146649798
763440190	3813183134
