coeffA	coeffB
4070130306	291555691
1225543034	2393199107
842749998	3833366334
1537365749	3190617831
3733312105	4237802095
3898978292	942613409
11290830	3361603161
3403631439	2176168607
3708516933	1791145879
1317424819	776360188
912626840	1475290216
3793206961	3523777867
4266981547	665479505
3171049916	850998651
1877796728	2880118968
1746871029	1868207950
371513285	4130950122
2653124009	3766554908
1583122133	2330802523
120185853	49862733
712148209	1100461817
341860796	2982566865
218304339	1729710337
453911476	1970605911
113115242	2170513227
2628121666	1655341545
2457767175	3545572880
1901256288	3120539418
1491227665	3713353983
383651148	2442310532
